Timestamp,Year,Month,Day,Hour,Day_of_Week,Temperature_C,Humidity_pct,Wind_Speed_ms,Pressure_hPa,Solar_Radiation_Wm2,Dew_Point_C,Precipitation_mm,Cloud_Cover_pct,Temp_1h_Ahead_C,Temp_3h_Ahead_C,Temp_6h_Ahead_C
2021-01-01 00:00:00,2021,1,1,0,4,6.07,74.6,3.0,1014.0,80.4,0.99,0.0,37,6.35,9.92,13.76
2021-01-01 01:00:00,2021,1,1,1,4,6.35,73.6,5.85,1015.58,46.5,1.07,0.0,42,8.02,9.81,14.15
2021-01-01 02:00:00,2021,1,1,2,4,8.02,71.9,3.86,1011.12,0.0,2.4,0.0,53,9.92,11.11,13.96
2021-01-01 03:00:00,2021,1,1,3,4,9.92,71.7,3.04,1013.9,17.8,4.27,0.0,56,9.81,13.76,15.26
2021-01-01 04:00:00,2021,1,1,4,4,9.81,70.4,4.65,1010.71,23.6,3.89,0.0,41,11.11,14.15,14.63
2021-01-01 05:00:00,2021,1,1,5,4,11.11,70.2,2.63,1013.66,37.6,5.15,2.0,56,13.76,13.96,14.46
2021-01-01 06:00:00,2021,1,1,6,4,13.76,68.9,4.29,1011.25,0.0,7.55,0.0,49,14.15,15.26,14.52
2021-01-01 07:00:00,2021,1,1,7,4,14.15,68.1,3.84,1011.0,205.3,7.77,0.0,38,13.96,14.63,12.01
2021-01-01 08:00:00,2021,1,1,8,4,13.96,70.4,3.3,1016.84,389.0,8.04,0.0,53,15.26,14.46,11.12
2021-01-01 09:00:00,2021,1,1,9,4,15.26,68.7,4.54,1016.24,578.4,9.01,0.0,46,14.63,14.52,10.85
2021-01-01 10:00:00,2021,1,1,10,4,14.63,65.2,1.82,1011.96,680.6,7.68,0.0,32,14.46,12.01,9.19
2021-01-01 11:00:00,2021,1,1,11,4,14.46,69.5,3.01,1015.88,762.3,8.37,0.0,92,14.52,11.12,8.96
2021-01-01 12:00:00,2021,1,1,12,4,14.52,68.7,4.16,1012.97,757.7,8.26,0.0,64,12.01,10.85,6.78
2021-01-01 13:00:00,2021,1,1,13,4,12.01,70.8,1.04,1010.97,795.2,6.16,0.0,55,11.12,9.19,5.34
2021-01-01 14:00:00,2021,1,1,14,4,11.12,69.0,0.91,1014.0,688.3,4.91,0.0,73,10.85,8.96,6.84
2021-01-01 15:00:00,2021,1,1,15,4,10.85,71.8,2.06,1014.46,557.0,5.21,0.0,41,9.19,6.78,4.99
2021-01-01 16:00:00,2021,1,1,16,4,9.19,69.8,2.35,1014.16,390.8,3.16,0.0,45,8.96,5.34,5.06
2021-01-01 17:00:00,2021,1,1,17,4,8.96,72.3,0.28,1010.5,194.8,3.42,0.0,38,6.78,6.84,4.03
2021-01-01 18:00:00,2021,1,1,18,4,6.78,69.6,0.5,1011.32,27.1,0.7,0.0,63,5.34,4.99,5.24
2021-01-01 19:00:00,2021,1,1,19,4,5.34,70.4,2.03,1014.45,15.2,-0.58,0.0,50,6.84,5.06,6.56
2021-01-01 20:00:00,2021,1,1,20,4,6.84,72.8,0.44,1011.31,0.0,1.4,3.3,48,4.99,4.03,6.58
2021-01-01 21:00:00,2021,1,1,21,4,4.99,70.7,2.08,1014.57,0.0,-0.87,0.0,35,5.06,5.24,9.01
2021-01-01 22:00:00,2021,1,1,22,4,5.06,78.3,0.5,1012.5,0.0,0.71,0.0,35,4.03,6.56,9.52
2021-01-01 23:00:00,2021,1,1,23,4,4.03,73.8,1.8,1010.58,0.0,-1.22,0.0,39,5.24,6.58,11.06
2021-01-02 00:00:00,2021,1,2,0,5,5.24,71.6,3.24,1011.07,34.0,-0.43,0.0,53,6.56,9.01,12.02
2021-01-02 01:00:00,2021,1,2,1,5,6.56,73.5,2.74,1013.73,20.9,1.26,0.6,51,6.58,9.52,15.02
2021-01-02 02:00:00,2021,1,2,2,5,6.58,69.6,1.17,1013.81,46.4,0.5,0.0,57,9.01,11.06,14.32
2021-01-02 03:00:00,2021,1,2,3,5,9.01,72.8,3.23,1015.4,0.0,3.57,0.0,48,9.52,12.02,13.99
2021-01-02 04:00:00,2021,1,2,4,5,9.52,72.5,3.05,1013.09,28.1,4.03,0.0,31,11.06,15.02,15.66
2021-01-02 05:00:00,2021,1,2,5,5,11.06,73.0,2.43,1012.76,15.7,5.66,0.5,53,12.02,14.32,13.86
2021-01-02 06:00:00,2021,1,2,6,5,12.02,67.5,1.79,1015.76,0.0,5.52,0.0,51,15.02,13.99,14.5
2021-01-02 07:00:00,2021,1,2,7,5,15.02,63.9,2.1,1011.81,240.7,7.81,0.0,50,14.32,15.66,11.97
2021-01-02 08:00:00,2021,1,2,8,5,14.32,66.1,6.48,1012.64,385.7,7.54,0.0,32,13.99,13.86,11.44
2021-01-02 09:00:00,2021,1,2,9,5,13.99,67.2,4.59,1013.78,578.6,7.42,3.6,55,15.66,14.5,11.46
2021-01-02 10:00:00,2021,1,2,10,5,15.66,72.3,5.78,1011.73,678.2,10.13,0.0,44,13.86,11.97,10.6
2021-01-02 11:00:00,2021,1,2,11,5,13.86,74.6,1.44,1013.75,726.8,8.79,0.0,44,14.5,11.44,8.85
2021-01-02 12:00:00,2021,1,2,12,5,14.5,68.8,2.76,1013.08,809.7,8.27,0.0,50,11.97,11.46,7.42
2021-01-02 13:00:00,2021,1,2,13,5,11.97,68.8,0.5,1014.78,821.0,5.74,1.4,70,11.44,10.6,6.23
2021-01-02 14:00:00,2021,1,2,14,5,11.44,68.0,0.26,1012.45,656.2,5.03,0.0,60,11.46,8.85,4.5
2021-01-02 15:00:00,2021,1,2,15,5,11.46,71.5,1.32,1012.13,572.0,5.75,0.0,13,10.6,7.42,4.6
